title,price,link
No title,No price,No link
"MSI Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Black/2.6Kg), B8VE-884IN","1,02,090",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTg2NDY1MTc1Nzk3NzU6MTczODg2NDU3OTpzcF9tdGY6MzAwNDEyMjAzOTI5OTMyOjowOjo&url=%2FMSI-Windows-GeForce-RTX4050-B8VE-884IN%2Fdp%2FB0BV1GBXKP%2Fref%3Dsr_1_75_sspa%3Fcrid%3D39AK7IU7KQ02T%26dib%3DeyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1738864579%26sprefix%3Dlapto%252Caps%252C278%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 14"" FHD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office Home & Student 2021/1Yr ADP Free/Arctic Grey/1.37Kg), 82XN006JIN","33,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTg2NDY1MTc1Nzk3NzU6MTczODg2NDU3OTpzcF9tdGY6MzAwNDcyNTg1NDc4NTMyOjowOjo&url=%2FLenovo-IdeaPad-Windows-Student-82XN006JIN%2Fdp%2FB0DR8TXKX4%2Fref%3Dsr_1_76_sspa%3Fcrid%3D39AK7IU7KQ02T%26dib%3DeyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1738864579%26sprefix%3Dlapto%252Caps%252C278%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS","48,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ523WS/dp/B0C5N3G2MD/ref=sr_1_77?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-77
"Lenovo IdeaPad Slim 5 Intel Core Ultra 7 155H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/100% sRGB/MSO/1Yr ADP Free/3 Month Game Pass/Grey/1.8Kg), 83DC008VIN","84,790",https://amazon.in//Lenovo-IdeaPad-40-64cm-WUXGA-IPS-83DC008VIN/dp/B0DGX6FLTC/ref=sr_1_78?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-78
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg","30,790",https://amazon.in//HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_8?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.Kq6xvSBkUHQcGOUtNjakx1stJc-FOxGMg_wDgGo2ewBDBQ1HhdYCpV7v5SGuPSQhO6ug3iGtdVXt7X32AoXuFa6DpNshpDTbCuxgWhasfAaDUj9JpqGa5_ExN-WVJ6oNYUQPTlYr8OUoWP1x9fYR1hVggGfTPxiT0yGCvr-Vb7istPzUaLwbK8giEcx1lgB200o42imjmE8e2jYslImYfmTUY3_5w-ab7_Fj0_bpnSM.dOfoWp0GjS46Y5ak8sRxXcSPyX42AOrucuUqoJ7vdfE&dib_tag=se&keywords=laptop&qid=1738864569&sprefix=lapto%2Caps%2C278&sr=8-8
"Zebronics NC5500D Powerful Laptop Cooler with Dual 125mm Fans, Silent Operation, Adjustable Fan Speed, Display, Controls, USB, 5 Step Retractable Stand and Mobile Holder",799,https://amazon.in//Zebronics-Powerful-Operation-Adjustable-Retractable/dp/B0C663VVP1/ref=sr_1_79?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-79
"MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1807IN","58,100",https://amazon.in//MSI-i5-13420H-Windows-GeForce-B13UCX-1807IN/dp/B0CV9H7TN6/ref=sr_1_80?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-80
"Acer Aspire Lite 13th Gen Intel Core i5-1334U Thin and Light Premium Laptop (Windows 11 Home/16 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","48,990",https://amazon.in//Acer-i5-1334U-Premium-Windows-AL15-53/dp/B0DPXCXDJ7/ref=sr_1_81?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-81
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",No price,https://amazon.in//Dyazo-Computer-Adjustable-Ergonomic-Compatible/dp/B08LHTJTBB/ref=sr_1_82?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-82
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Win 11/Office 2021/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS00U00","50,390",https://amazon.in//Lenovo-ThinkPad-Graphics-Keyboard-21JRS00U00/dp/B0C7HYBQW1/ref=sr_1_83?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-83
